0;1;2;3;4;5;6;7;8
Czy w tej sytuacji po wyminięciu pojazdu masz prawo zmienić światła mijania na drogowe?;TAK;NIE;BRAK;Tak;A,B,C,D,A1,A2,B1,C1,D1;B.1.6.4.bzorg_skrocony.wmv;nie;Awaria pojazdu, pierwsza pomoc
Czy w tej sytuacji, kierując pojazdem samochodowym, wolno Ci używac wyłącznie świateł pozycyjnych?.;TAK;NIE;BRAK;Nie;A,B,C,D,A1,A2,B1,C1,D1;642.D33org.wmv;nie;Inne
Czy w przedstawionej sytuacji jesteś ostrzegany o skrzyżowaniu, na którym ruch odbywa się dookoła wyspy lub placu, w kierunku wskazanym na znaku?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;1638D15org.jpg;nie;Znaki Ostrzegawcze
Czy w przedstawionej sytuacji jesteś ostrzegany o znacznym wzniesieniu drogi?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;IMG_8800d8org.jpg;nie;Znaki nakazu i zakazu
Czy w tej sytuacji wolno Ci przejechać przez przejazd kolejowy bez zatrzymywania się, jeśli upewniłeś się wcześniej, że nie nadjeżdża pociąg?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;049D16org.jpg;nie;Znaki informacyjne, kierunku
Kierujesz pojazdem w obszarze zabudowanym. Czy w przedstawionej sytuacji masz obowiązek umożliwić kierującemu autobusem włączenie się do ruchu?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM;W9(32)org.wmv;nie;Znaki poziome
Czy w tej sytuacji jesteś uprzedzany o zbliżaniu się do skrzyżowania, na którym pierwszeństwo nie jest określone znakami?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;1433D14MMorgbm.jpg;nie;Sygnalizacja świetlna
Czy w tej sytuacji, przed wjechaniem na tory, masz obowiązek upewnić się czy nie zbliża się pojazd szynowy?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;D18_1org.wmv;nie;Pierwszeństwo przejazdu
Jedziesz na wprost, a motocyklista zamierza skręcić w lewo. Czy masz obowiązek ustąpić mu pierwszeństwa?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;KW_D22_409_org.wmv;nie;Zatrzymanie, postój, włączenie się do ruchu
Czy w tej sytuacji masz prawo rozpocząć manewr wyprzedzania?;TAK;NIE;BRAK;Nie;A,B,C,D,A1,A2,B1,C1,D1;GND14__3_org_2.wmv;nie;Zmiana kierunku jazdy, przejazdy kolejowe
Zamierzasz skręcić w prawo, a kierujący autobusem chce skręcić w lewo. Czy masz przed nim pierwszeństwo?;TAK;NIE;BRAK;Nie;B;W7(48)org.wmv;tak;Wyprzedzanie, omijanie, wymijanie cofanie
Czy masz prawo ominąć poprzedzający pojazd z lewej strony?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W13(22)org.wmv;nie;Szczególna ostrożność
Zamierzasz skręcić w prawo. Czy masz pierwszeństwo przed pojazdem nadjeżdżającym z lewej strony?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W6(43)org.wmv;nie;Warunki drogowe
Jedziesz drogą z pierwszeństwem przejazdu. Czy w tej sytuacji masz pierwszeństwo przed rowerzystą?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W17(14,18,19)org.wmv;nie;Prędkość, hamowanie, odstępy
Czy w tej sytuacji masz pierwszeństwo przed rowerzystą?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W17(15)org.wmv;nie;Technika jazdy
Czy masz prawo wjechać na chodnik, by ominąć ten pojazd?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W13(23)org.wmv;nie;Obowiązki kierującego, dokumenty
Czy w tej sytuacji masz prawo jechać z włączonymi światłami drogowymi?;TAK;NIE;BRAK;Nie;A,B,C,D,A1,A2,B1,C1,D1;W14(28)org.wmv;nie;Awaria pojazdu, pierwsza pomoc
Czy po skręceniu w lewo, widoczne na jezdni poprzecznej oznakowanie poziome zabrania Ci przejechać na prawy skrajny pas ruchu?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4(89)org.wmv;nie;Inne
Czy w tej sytuacji właściwie wybrałeś miejsce zatrzymania?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W16(29)org.wmv;nie;Znaki Ostrzegawcze
Czy prawidłowo omijasz poprzedzający pojazd?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W13(24)org.wmv;nie;Znaki nakazu i zakazu
Czy w tej sytuacji masz pierwszeństwo przed pojazdem nadjeżdżającym z lewej strony?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;502_D27KW_org_2.wmv;nie;Znaki informacyjne, kierunku
Czy w tej sytuacji, zanim włączysz się do ruchu, masz obowiązek obserwacji drogi w lusterku zewnętrznym?;TAK;NIE;BRAK;Tak;B;D36_44org.wmv;tak;Znaki poziome
Jakie jest ryzyko poślizgu pojazdu podczas jazdy w czasie deszczu?;Największe w początkowej fazie deszczu.;Najmniejsze w początkowej fazie deszczu.;Największe w końcowej fazie deszczu.;A;B,B1;BRAK;nie;Sygnalizacja świetlna
Jaki wpływ ma prędkość jazdy na kąt widzenia kierującego samochodem osobowym?;Wraz ze wzrostem prędkości kąt widzenia zawęża się.;Wraz ze wzrostem prędkości kąt widzenia rozszerza się.;Nie ma żadnego wpływu.;A;B;BRAK;tak;Pierwszeństwo przejazdu
Który z wymienionych czynników może ograniczyć pole widzenia kierującego samochodem osobowym?;Używanie klimatyzacji podczas opadów deszczu.;Lusterko wewnętrzne.;Oślepiające światła innych pojazdów jadących z przeciwka.;C;B;BRAK;tak;Zatrzymanie, postój, włączenie się do ruchu
Który z wymienionych czynników może ograniczyć pole widzenia kierującego samochodem osobowym podczas jazdy nocą?;Zmniejszona prędkość.;Uszkodzony system ABS.;Niewłaściwie ustawione światła.;C;B;BRAK;tak;Zmiana kierunku jazdy, przejazdy kolejowe
Który z wymienionych czynników ma wpływ na ograniczenie pola widzenia kierującego samochodem osobowym?;Mruganie oczami w czasie przerwy w jeździe.;15 minut odpoczynku po dwugodzinnej jeździe.;Kierowanie pojazdem w stanie nietrzeźwości.;C;B;BRAK;tak;Wyprzedzanie, omijanie, wymijanie cofanie
Który z wymienionych czynników może powodować ograniczenie pola widzenia kierującego samochodem osobowym?;Zbyt nisko lub zbyt wysoko ustawiony fotel kierującego.;15 minut odpoczynku po dwugodzinnej jeździe.;Okulary przeciwsłoneczne używane w słoneczny dzień.;A;B;BRAK;tak;Szczególna ostrożność
Jaki wpływ ma prędkość jazdy na kąt widzenia kierującego samochodem osobowym?;Wraz ze wzrostem prędkości kąt widzenia jest większy.;Wraz ze wzrostem prędkości kąt widzenia jest mniejszy.;Nie ma żadnego wpływu.;B;B;BRAK;tak;Warunki drogowe
Jedziesz z prędkością 80 km/h. Jaka pozycja początkowa zapewni Ci optymalny tor jazdy po zakręcie?;Na środku drogi, z częściowym przekroczeniem widocznej linii.;Przy linii rozdzielającej pasy ruchu - na prawej połowie jezdni.;Przy prawej krawędzi jezdni.;B;B,B1;IMG_0027orgbm.jpg;nie;Prędkość, hamowanie, odstępy
Jedziesz z prędkością 90 km/h. Jaka pozycja początkowa zapewni Ci optymalny tor jazdy po zakręcie?;Na środku jezdni, z częściowym przekroczeniem widocznej linii.;Przy linii rozdzielającej pasy ruchu - na prawej połowie jezdni.;Przy prawej krawędzi jezdni.;C;B,B1;IMG_9130d8orgbm.jpg;nie;Technika jazdy
Jak powinieneś postąpić, aby rozpędzić samochód osobowy na płaskim odcinku drogi?;Wykorzystać maksymalne obroty silnika na każdym biegu.;Przyspieszyć do takiej prędkości na niższym biegu, by po włączeniu następnego biegu pojazd nie szarpał i nie dusił się.;W każdym przypadku zwiększyć biegi o dwa.;B;B;BRAK;tak;Obowiązki kierującego, dokumenty
W jaki sposób wolno Ci przewozić rowery samochodem osobowym?;Umieszczone w uchwytach z tyłu pojazdu ograniczającym czytelność tablicy rejestracyjnej.;Umieszczone w uchwytach z tyłu pojazdu zasłaniającym jedno światło pojazdu.;Umieszczone w uchwytach zamontowanych na bagażniku dachowym.;C;B;BRAK;tak;Awaria pojazdu, pierwsza pomoc
Czy za tym znakiem informacyjnym, prawym pasem ruchu mogą poruszać się jedynie uprawnione pojazdy?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;9148orgbm.jpg;nie;Inne
Czy w tej sytuacji, zgodnie z zasadą ograniczonego zaufania, należy rozpocząć hamowanie?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;AK_D08-03_18_org_2.wmv;nie;Znaki Ostrzegawcze
"Czy widoczny na jezdni napis ""STOP"" potwierdza oznakowanie wlotu na skrzyżowanie znakiem pionowym ""stop""?";TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;0288D14MM_aorgbm.jpg;nie;Znaki nakazu i zakazu
Czy w przedstawionej sytuacji masz prawo skręcić w lewo?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;065bD11orgbez maski.jpg;nie;Znaki informacyjne, kierunku
Czy w tej sytuacji wolno Ci skręcić w prawo?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;IMG_9402aorgbm.jpg;nie;Znaki poziome
Czy w tej sytuacji z pasa ruchu, który zajmujesz, dozwolone jest wykonanie skrętu w prawo?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;IMG_3170orgbm.jpg;nie;Sygnalizacja świetlna
Czy wjeżdżając z pola na drogę twardą masz obowiązek zachować szczególną ostrożność?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;D36_35org.wmv;nie;Pierwszeństwo przejazdu
Czy w tej sytuacji masz obowiązek zachować szczególną ostrożność?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;D18_6org.wmv;nie;Zatrzymanie, postój, włączenie się do ruchu
Czy w tej sytuacji powinieneś być przygotowany do zatrzymania pojazdu?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;2965orgbm.jpg;nie;Zmiana kierunku jazdy, przejazdy kolejowe
Czy w tej sytuacji uzasadnione jest zmniejszenie prędkości podczas omijania?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W13(25).wmv;nie;Wyprzedzanie, omijanie, wymijanie cofanie
Czy w tej sytuacji masz prawo jechać z włączonymi światłami drogowymi?;TAK;NIE;BRAK;Nie;A,B,C,D,A1,A2,B1,C1,D1;B.1.6.6.Bzorgbezmaski.wmv;nie;Szczególna ostrożność
Czy w tej sytuacji zamiast świateł mijania wolno Ci używać świateł do jazdy dziennej?;TAK;NIE;BRAK;Tak;B,C,D,C1,D1;W14(30).wmv;nie;Warunki drogowe
Czy w tej sytuacji powinieneś użyć sygnału dźwiękowego?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W17(14,18,19)org.wmv;nie;Prędkość, hamowanie, odstępy
Czy na tak oznakowanej drodze wolno Ci poruszać się autobusem o nacisku osi pojedynczej wynoszącym 10 ton?;TAK;NIE;BRAK;Tak;D;IMG_3747d8_org poprawione1.jpg;tak;Technika jazdy
Kierujesz autobusem wykonującym odpłatny przewóz osób na regularnych liniach. Czy w tej sytuacji wolno Ci korzystać w dowolnym czasie z prawego pasa ruchu?;TAK;NIE;BRAK;Tak;D,D1;IMG_0238b_org.jpg;nie;Obowiązki kierującego, dokumenty
Czy w tej sytuacji, umieszczone po prawej stronie na linii przerywanej odblaskowe elementy punktowe barwy białej rozdzielają pasy ruchu?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;IMG_9746org.jpg;nie;Awaria pojazdu, pierwsza pomoc
Zamierzasz skręcić w lewo, a pojazd nadjeżdżający z prawej strony chce jechać na wprost. Czy masz przed nim pierwszeństwo?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;KW_D22_454_org.wmv;nie;Inne
Czy na tak oznakowanej drodze dozwolone jest poruszanie się samochodem ciężarowym o nacisku osi pojedynczej wynoszącym 10 ton?;TAK;NIE;BRAK;Tak;C;IMG_3747d8_org poprawione1.jpg;tak;Znaki Ostrzegawcze
Czy tak pozostawiony na postoju bez opieki ciągnik jest prawidłowo zabezpieczony przed możliwością uruchomienia go przez osobę niepowołaną?;TAK;NIE;BRAK;Nie;T;IMG_5772_1org.jpg;tak;Znaki nakazu i zakazu
Czy podczas postoju wolno Ci oddalić się od ciągnika, jeśli silnik jest w ruchu?;TAK;NIE;BRAK;Nie;T;IMG_5770_1org.jpg;tak;Znaki informacyjne, kierunku
Czy tak pozostawiony na postoju bez opieki motocykl jest prawidłowo zabezpieczony przed możliwością uruchomienia go przez osobę niepowołaną?;TAK;NIE;BRAK;Nie;A,A1,A2;IMG_0014org.jpg;nie;Znaki poziome
Czy podczas postoju wolno Ci oddalić się od motocykla, jeśli silnik jest w ruchu?;TAK;NIE;BRAK;Nie;A,A1,A2;IMG_6164org.jpg;nie;Sygnalizacja świetlna
Czy tak pozostawiony na postoju bez opieki autobus jest prawidłowo zabezpieczony przed możliwością uruchomienia go przez osobę niepowołaną?;TAK;NIE;BRAK;Nie;D,D1;D35_04org.jpg;nie;Pierwszeństwo przejazdu
Czy tak pozostawiony na postoju bez opieki pojazd jest prawidłowo zabezpieczony przed możliwością uruchomienia go przez osobę niepowołaną?;TAK;NIE;BRAK;Nie;C,C1;D34_004org.jpg;nie;Zatrzymanie, postój, włączenie się do ruchu
Czy podczas postoju wolno Ci oddalić się od pojazdu, jeśli silnik jest w ruchu?;TAK;NIE;BRAK;Nie;C,C1;IMG_6160org.jpg;nie;Zmiana kierunku jazdy, przejazdy kolejowe
Czy podczas postoju wolno Ci oddalić się od autobusu, jeśli silnik jest w ruchu?;TAK;NIE;BRAK;Nie;D,D1;D35_06org.jpg;nie;Wyprzedzanie, omijanie, wymijanie cofanie
Czy tak pozostawiony na postoju bez opieki pojazd jest prawidłowo zabezpieczony przed możliwością uruchomienia go przez osobę niepowołaną?;TAK;NIE;BRAK;Nie;B;Sequence01_6org.wmv;tak;Szczególna ostrożność
Zamierzasz skręcić w prawo. Czy masz obowiązek ustąpić pierwszeństwa pojazdowi nadjeżdżającemu z lewej strony?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;504_D27KW_org_2.wmv;nie;Warunki drogowe
W którym z wymienionych przypadków regularne wykonywanie badania technicznego pojazdu ma wpływ na jego bezpieczne używanie w ruchu drogowym?;Wyłącznie po upływie okresu gwarancji pojazdu.;Tylko w okresie gwarancji pojazdu.;W całym okresie używania pojazdu.;C;B,B1;BRAK;nie;Prędkość, hamowanie, odstępy
Zamierzasz jechać na wprost. Czy masz obowiązek ustąpić pierwszeństwa pojazdowi nadjeżdżającemu z lewej strony?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;KW_D16_356org_2.wmv;nie;Technika jazdy
Skręcasz w prawo, a kierujący nadjeżdżający z przeciwka zamierza skręcić w lewo. Czy masz przed nim pierwszeństwo?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;KW_D22_436_org_2.wmv;nie;Obowiązki kierującego, dokumenty
O czym ostrzega, świecąca się na czerwono w czasie jazdy samochodem osobowym, lampka kontrolna z symbolem akumulatora?;O uszkodzeniu akumulatora.;O całkowitym rozładowaniu się akumulatora.;O nieprawidłowo działającym ładowaniu akumulatora.;C;B;B9(42)org.jpg;tak;Awaria pojazdu, pierwsza pomoc
Który z wymienionych skutków może zostać wywołany przez kontynuowanie jazdy przy świecącej się na czerwono lampce kontrolnej ciśnienia oleju silnikowego?;Poważne uszkodzenie silnika.;Uszkodzenie hamulców.;Uszkodzenie mechanizmów przeniesienia napędu.;A;B,B1;B9(41,43,44)org.jpg;nie;Inne
Która osoba ma obowiązek korzystania z pasów bezpieczeństwa?;Osoba przewożona na wózku inwalidzkim.;Kierujący pojazdem.;Kobieta w widocznej ciąży.;B;B,B1;B2(27,28,30,31)org.jpg;nie;Znaki Ostrzegawcze
Jaką funkcję pełni dobrze ustawiony zagłówek w razie wypadku drogowego?;Chroni czubek głowy.;Chroni kręgi szyjne.;Chroni plecy.;B;B;B2(29)org.jpg;tak;Znaki nakazu i zakazu
Jaki wpływ ma stosowanie pasów bezpieczeństwa na powstanie obrażeń ciężkich przy zderzeniach czołowych?;zmniejsza ryzyko powstania obrażeń ciężkich lub śmiertelnych.;zwiększa ryzyko powstania obrażeń lekkich.;nie ma wpływu na ryzyko powstania obrażeń bez względu na ich rodzaj.;A;B,B1;B2(27,28,30,31)org.jpg;nie;Znaki informacyjne, kierunku
W której sytuacji zapięty pas bezpieczeństwa nie będzie działał właściwie?;Gdy jest on skręcony.;Gdy jego górna część jest umieszczona poniżej szyi.;Gdy jest on napięty.;A;B,B1;B2(27,28,30,31)org.jpg;nie;Znaki poziome
Czy w tej sytuacji miałeś obowiązek włączyć kierunkowskaz?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;MD_D15c_07-00_org_2.wmv;nie;Sygnalizacja świetlna
Jaki jest cel stosowania systemu ABS w samochodzie osobowym?;Zapobieganie utracie stabilności i zapewnienie kierowalności pojazdu podczas jego hamowania.;Zapobieganie przed wpadnięciem pojazdu w poślizg - niezależnie od jego prędkości i warunków na drodze.;Ułatwianie pokonywania zakrętów.;A;B;BRAK;tak;Pierwszeństwo przejazdu
Jak należy postąpić, podczas jazdy samochodem osobowym po drodze pokrytej śniegiem?;Unikać gwałtownych ruchów kierownicą.;Odłączyć system kontroli trakcji.;Na podjazdach zwiększyć prędkość.;A;B;BRAK;tak;Zatrzymanie, postój, włączenie się do ruchu
Czy znak umieszczony pod sygnalizacją oznacza zakaz wjazdu na zwrotnicę oraz obowiązek zatrzymania się i sprawdzenia prawidłowego położenia iglic?;TAK;NIE;BRAK;Tak;PT;115TRAM3org.jpg;nie;Zmiana kierunku jazdy, przejazdy kolejowe
Czy widoczna na jezdni linia łamana wyznacza miejsce przystanku dla tramwajów, autobusów lub trolejbusów?;TAK;NIE;BRAK;Tak;PT;133TRAM3Porg3po korekcie.jpg;nie;Wyprzedzanie, omijanie, wymijanie cofanie
Czy w tej sytuacji skręcając w lewo masz obowiązek ustąpić pierwszeństwa tramwajowi z przeciwka?;TAK;NIE;BRAK;Tak;PT;018TRAM1org.wmv;nie;Szczególna ostrożność
"Czy widoczny na jezdni znak ""linia łamana"" wyznacza miejsce parkingowe dla niepełnosprawnych?";TAK;NIE;BRAK;Nie;PT;133TRAM3Porg3po korekcie.jpg;nie;Warunki drogowe
Czy w tej sytuacji wykonujesz manewr wyprzedzania?;TAK;NIE;BRAK;Tak;PT;027TRAM3org.wmv;nie;Prędkość, hamowanie, odstępy
Czy w takiej sytuacji masz pierwszeństwo przed pieszym?;TAK;NIE;BRAK;Nie;PT;045TRAM1Porg.jpg;nie;Technika jazdy
Jak powinien zachować się motorniczy przy narastającym natężeniu ruchu?;Rozwinąć maksymalną prędkość, aby nadrobić możliwe opóźnienia.;Używać sygnału dźwiękowego, aby przyśpieszyć przejazd.;Zwolnić i zwiększyć odstęp od poprzedzającego tramwaju, aby obniżyć poziom ryzyka.;C;PT;BRAK;nie;Obowiązki kierującego, dokumenty
"Na czym polega zjawisko ""pocenia się szyn""?";Na zmoczeniu szyn przez opady deszczu.;Na osiadaniu wilgoci na wychłodzonych szynach, głównie jesienią.;Na odparowaniu wilgoci po deszczu.;B;PT;BRAK;nie;Awaria pojazdu, pierwsza pomoc
Jak powinien zachować się kierujący tramwajem, gdy zaczyna padać deszcz?;Stosować łagodniejszy rozruch.;Stosować bardziej energiczny rozruch.;Nie zmieniać sposobu rozruchu.;A;PT;BRAK;nie;Inne
Co powinien zrobić motorniczy przed wjechaniem na zwrotnicę?;Spojrzeć wyłącznie na sygnalizator wskazujący kierunek ustawienia zwrotnicy.;Spojrzeć na iglicę zwrotnicy oraz na sygnalizator wskazujący kierunek ustawienia zwrotnicy.;Spojrzeć wyłącznie w kierunku jazdy.;B;PT;119TRAM2org.jpg;nie;Znaki Ostrzegawcze
Co powinien zrobić motorniczy widząc sygnalizator informujący o przestawieniu zwrotnicy w prawo?;Spojrzeć na iglice zwrotnicy, aby upewnić się, że jest przestawiona w odpowiednim kierunku.;Kierować się wyłącznie wskazaniem sygnalizatora.;W każdym przypadku zatrzymać tramwaj i wyjść do zwrotnicy.;A;PT;119TRAM2org.jpg;nie;Znaki nakazu i zakazu
Na czym polega prawidłowa technika kierowania tramwajem?;Na możliwie długim rozruchu, możliwie krótkim wybiegu i łagodnym hamowaniu.;Na łagodnym rozruchu, możliwie długim wybiegu i gwałtownym hamowaniu.;Na łagodnym rozruchu, możliwie długim wybiegu i łagodnym hamowaniu.;C;PT;BRAK;nie;Znaki informacyjne, kierunku
Kto podlega odpowiedzialności karnej w przypadku nieudzielenia pomocy poszkodowanemu w wypadku drogowym z bezpośrednim zagrożeniu utraty zdrowia i życia?;Każda osoba, która mogła udzielić pomocy bez narażenia siebie lub innej osoby na niebezpieczeństwo utraty życia lub ciężkiego uszczerbku zdrowia.;Tylko lekarz.;Tylko uczestnik wypadku drogowego.;A;B,B1;BRAK;nie;Znaki poziome
Jak należy postąpić z poszkodowanym w wypadku drogowym, znajdującym się w pojeździe?;Należy go ewakuować z pojazdu - w każdym przypadku.;Należy go ewakuować z pojazdu - w przypadku stwierdzenia u niego zatrzymania akcji serca.;Należy go zawsze pozostawić w pojeździe - do czasu przybycia lekarza.;B;B,B1;BRAK;nie;Sygnalizacja świetlna
Czy, ograniczenie prędkości określone przez ten znak obowiązuje motorniczego wyłącznie do najbliższego skrzyżowania bądź przecięcia torów, o ile inne znaki nie nakażą inaczej?;TAK;NIE;BRAK;Tak;PT;166TRAM1org.jpg;nie;Pierwszeństwo przejazdu
Czy w tej sytuacji masz prawo wjechać za sygnalizator?;TAK;NIE;BRAK;Nie;PT;149TRAM1orgpo korkecie.jpg;nie;Zatrzymanie, postój, włączenie się do ruchu
Jesteś uczestnikiem lub świadkiem wypadku drogowego. Które z wymienionych informacji należy podać dzwoniąc pod numer alarmowy?;Miejsce zdarzenia oraz liczbę i stan ofiar wypadku.;Tylko liczbę pojazdów biorących udział w wypadku.;Tylko liczbę ofiar wypadku.;A;B,B1;BRAK;nie;Zmiana kierunku jazdy, przejazdy kolejowe
Jesteś uczestnikiem lub świadkiem wypadku drogowego. Jak należy postąpić, gdy na poszkodowanym pali się ubranie?;Przewrócić osobę na ziemię i ugasić ogień poprzez przykrycie np. kurtką, kocem, płaszczem.;Poczekać na przyjazd Straży Pożarnej.;Ugasić ogień gaśnicą.;A;B,B1;BRAK;nie;Wyprzedzanie, omijanie, wymijanie cofanie
Która z wymienionych awarii, uniemożliwia używanie samochodu osobowego w ruchu drogowym?;Niedziałające czujniki parkowania.;Niedziałająca klimatyzacja.;"Niedziałające światła hamowania ""stop"".";C;B;BRAK;tak;Szczególna ostrożność
Które z wymienionych działań należy podjąć w pierwszej kolejności, gdy w czasie jazdy zaświeci się na czerwono lampka kontrolna ciśnienia oleju silnikowego?;Kontynuować jazdę ze zmniejszoną prędkością.;Zwiększyć obroty silnika.;Zatrzymać pojazd i wyłączyć silnik.;C;B,B1;BRAK;nie;Warunki drogowe
Czy zajmujesz właściwy pas ruchu, jeśli na najbliższym skrzyżowaniu zamierzasz skręcić w lewo?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;Zmiana_pasa_ruchu_53 P.jpg;nie;Prędkość, hamowanie, odstępy
Czy w tych warunkach drogowych przedstawiony sposób wykonania manewru zawracania jest zabroniony?;TAK;NIE;BRAK;Nie;B;MD_D15c_07-03org.wmv;tak;Technika jazdy
Czy w przedstawionej sytuacji wolno Ci wyprzedzić pojazd z prawej strony?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;WC_D17_27_org_2.wmv;nie;Obowiązki kierującego, dokumenty
Czy numer telefonu 112 jest ogólnopolskim numerem alarmowym dla wszystkich służb ratowniczych?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;BRAK;nie;Awaria pojazdu, pierwsza pomoc
Co powinieneś zrobić jeżeli na skutek wypadku drogowego, wokół tramwaju zbiera się paliwo wyciekające z uszkodzonych pojazdów?;Odłączyć pantograf od sieci i przeprowadzić ewakuację pasażerów w bezpieczne miejsce.;Natychmiast oddalić się od tramwaju, pozostawiając decyzje o ewakuacji pasażerom.;Poczekać w tramwaju na przyjazd Straży Pożarnej.;A;PT;BRAK;nie;Inne
Kierujesz pojazdem szynowym. Jak postąpisz, gdy zauważysz pożar instalacji elektrycznej?;Zatrzymam pojazd, otworzę drzwi w celu ewakuacji pasażerów, odłącze pantograf od sieci i przystąpie do gaszenia pożaru.;Dojadę do najbliższego przystanku, a następnie zawiadomię Straż Pożarną.;Jak najszybciej opuszczę tramwaj.;A;PT;BRAK;nie;Znaki Ostrzegawcze
Czy w tej sytuacji masz prawo wjechać na skrzyżowanie, jeżeli zamierzasz jechać na wprost?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;1A351.wmv;nie;Znaki nakazu i zakazu
Z jaką prędkością masz obowiązek jechać na autostradzie?;Co najmniej 40 km/h.;Co najmniej 60 km/h.;Bezpieczną, nieutrudniającą jazdy innym kierującym, jednak nie większą niż dopuszczalna.;C;B;2A109.jpg;tak;Znaki informacyjne, kierunku
Czy jadąc motorowerem masz obowiązek używać kasku ochronnego?;Tak, w każdym przypadku.;Nie, jeżeli jadę z niewielką prędkością.;Nie, jeżeli jadę jako pasażer.;A;AM;3A257.jpg;nie;Znaki poziome
Czy przed wjazdem na przejazd kolejowy oznaczony tym znakiem, zawsze masz obowiązek zatrzymania się?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;1A1106.jpg;nie;Sygnalizacja świetlna
Czy widoczne znaki ostrzegają o zbliżaniu się do przejścia dla pieszych?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;1A1117.wmv;nie;Pierwszeństwo przejazdu
Czy za tymi znakami powinieneś spodziewać się dwustronnego zwężenia jezdni?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;1A1118.wmv;nie;Zatrzymanie, postój, włączenie się do ruchu
Czy ten znak ostrzega o miejscu intensywnych opadów atmosferycznych?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;1A1121.jpg;nie;Zmiana kierunku jazdy, przejazdy kolejowe
Czy ten znak ostrzega o możliwości wystąpienia gołoledzi na jezdni?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;1A1123.jpg;nie;Wyprzedzanie, omijanie, wymijanie cofanie
Czy na jezdni za tym znakiem ostrzegawczym możesz spodziewać się pojazdu nadjeżdżającego z przeciwka?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;1A1126.wmv;nie;Szczególna ostrożność
